#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000571395.1	PRJNA225067	SAMN02385391	JEEB00000000.1	na	1412651	1280	Staphylococcus aureus H47671	strain=H47671		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_H47671_V1	Broad Institute	GCF_000571395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/395/GCA_000571395.1_Stap_aure_H47671_V1		
GCA_000571415.1	PRJNA225066	SAMN02385390	JEEC00000000.1	na	1412650	1280	Staphylococcus aureus F88405	strain=F88405		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F88405_V1	Broad Institute	GCF_000571415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/415/GCA_000571415.1_Stap_aure_F88405_V1		
GCA_000571435.1	PRJNA225065	SAMN02385389	JEED00000000.1	na	1412649	1280	Staphylococcus aureus F88387	strain=F88387		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F88387_V1	Broad Institute	GCF_000571435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/435/GCA_000571435.1_Stap_aure_F88387_V1		
GCA_000571455.1	PRJNA225064	SAMN02385388	JEEE00000000.1	na	1412648	1280	Staphylococcus aureus F88375	strain=F88375		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F88375_V1	Broad Institute	GCF_000571455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/455/GCA_000571455.1_Stap_aure_F88375_V1		
GCA_000571475.1	PRJNA225063	SAMN02385387	JEEF00000000.1	na	1412647	1280	Staphylococcus aureus F88369	strain=F88369		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F88369_V1	Broad Institute	GCF_000571475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/475/GCA_000571475.1_Stap_aure_F88369_V1		
GCA_000571495.1	PRJNA225062	SAMN02385386	JEEG00000000.1	na	1412646	1280	Staphylococcus aureus F84763	strain=F84763		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F84763_V1	Broad Institute	GCF_000571495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/495/GCA_000571495.1_Stap_aure_F84763_V1		
GCA_000571515.1	PRJNA225061	SAMN02385385	JEEH00000000.1	na	1412645	1280	Staphylococcus aureus F84732	strain=F84732		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F84732_V1	Broad Institute	GCF_000571515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/515/GCA_000571515.1_Stap_aure_F84732_V1		
GCA_000571535.1	PRJNA225060	SAMN02385384	JEEI00000000.1	na	1412644	1280	Staphylococcus aureus F81389	strain=F81389		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F81389_V1	Broad Institute	GCF_000571535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/535/GCA_000571535.1_Stap_aure_F81389_V1		
GCA_000571555.1	PRJNA225059	SAMN02385383	JEEJ00000000.1	na	1412643	1280	Staphylococcus aureus F81381	strain=F81381		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F81381_V1	Broad Institute	GCF_000571555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/555/GCA_000571555.1_Stap_aure_F81381_V1		
GCA_000571575.1	PRJNA225058	SAMN02385382	JEEK00000000.1	na	1412642	1280	Staphylococcus aureus F77974	strain=F77974		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F77974_V1	Broad Institute	GCF_000571575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/575/GCA_000571575.1_Stap_aure_F77974_V1		
GCA_000571595.1	PRJNA225057	SAMN02385381	JEEL00000000.1	na	1412641	1280	Staphylococcus aureus F77967	strain=F77967		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F77967_V1	Broad Institute	GCF_000571595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/595/GCA_000571595.1_Stap_aure_F77967_V1		
GCA_000571615.1	PRJNA225056	SAMN02385380	JEEM00000000.1	na	1412640	1280	Staphylococcus aureus F77960	strain=F77960		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F77960_V1	Broad Institute	GCF_000571615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/615/GCA_000571615.1_Stap_aure_F77960_V1		
GCA_000571635.1	PRJNA225054	SAMN02385378	JEEN00000000.1	na	1412638	1280	Staphylococcus aureus F77919	strain=F77919		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F77919_V1	Broad Institute	GCF_000571635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/635/GCA_000571635.1_Stap_aure_F77919_V1		
GCA_000571655.1	PRJNA225053	SAMN02385377	JEEO00000000.1	na	1412637	1280	Staphylococcus aureus F77917	strain=F77917		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F77917_V1	Broad Institute	GCF_000571655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/655/GCA_000571655.1_Stap_aure_F77917_V1		
GCA_000571675.1	PRJNA225052	SAMN02385376	JEEP00000000.1	na	1412636	1280	Staphylococcus aureus F29997	strain=F29997		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F29997_V1	Broad Institute	GCF_000571675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/675/GCA_000571675.1_Stap_aure_F29997_V1		
GCA_000571695.1	PRJNA225051	SAMN02385375	JEEQ00000000.1	na	1412635	1280	Staphylococcus aureus F29993	strain=F29993		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F29993_V1	Broad Institute	GCF_000571695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/695/GCA_000571695.1_Stap_aure_F29993_V1		
GCA_000571715.1	PRJNA225050	SAMN02385374	JEER00000000.1	na	1412634	1280	Staphylococcus aureus F29982	strain=F29982		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F29982_V1	Broad Institute	GCF_000571715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/715/GCA_000571715.1_Stap_aure_F29982_V1		
GCA_000571735.1	PRJNA225049	SAMN02385373	JEES00000000.1	na	1412633	1280	Staphylococcus aureus F26884	strain=F26884		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F26884_V1	Broad Institute	GCF_000571735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/735/GCA_000571735.1_Stap_aure_F26884_V1		
GCA_000571755.1	PRJNA225047	SAMN02385371	JEET00000000.1	na	1412631	1280	Staphylococcus aureus F26858	strain=F26858		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F26858_V1	Broad Institute	GCF_000571755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/755/GCA_000571755.1_Stap_aure_F26858_V1		
GCA_000571775.1	PRJNA225046	SAMN02385370	JEEU00000000.1	na	1412630	1280	Staphylococcus aureus F23368	strain=F23368		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F23368_V1	Broad Institute	GCF_000571775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/775/GCA_000571775.1_Stap_aure_F23368_V1		
GCA_000571795.1	PRJNA225045	SAMN02385369	JEEV00000000.1	na	1412629	1280	Staphylococcus aureus F23353	strain=F23353		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F23353_V1	Broad Institute	GCF_000571795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/795/GCA_000571795.1_Stap_aure_F23353_V1		
GCA_000571815.1	PRJNA225042	SAMN02385366	JEEW00000000.1	na	1412626	1280	Staphylococcus aureus F20115	strain=F20115		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F20115_V1	Broad Institute	GCF_000571815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/815/GCA_000571815.1_Stap_aure_F20115_V1		
GCA_000571835.1	PRJNA225040	SAMN02385364	JEEX00000000.1	na	1412624	1280	Staphylococcus aureus F16470	strain=F16470		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F16470_V1	Broad Institute	GCF_000571835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/835/GCA_000571835.1_Stap_aure_F16470_V1		
GCA_000571855.1	PRJNA225039	SAMN02385363	JEEY00000000.1	na	1412623	1280	Staphylococcus aureus F16432	strain=F16432		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F16432_V1	Broad Institute	GCF_000571855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/855/GCA_000571855.1_Stap_aure_F16432_V1		
GCA_000571875.1	PRJNA225038	SAMN02385362	JEEZ00000000.1	na	1412622	1280	Staphylococcus aureus F13027	strain=F13027		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F13027_V1	Broad Institute	GCF_000571875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/875/GCA_000571875.1_Stap_aure_F13027_V1		
GCA_000571895.1	PRJNA225037	SAMN02385361	JEFA00000000.1	na	1412621	1280	Staphylococcus aureus F13022	strain=F13022		latest	Scaffold	Major	Full	2014/02/14	Stap_aure_F13022_V1	Broad Institute	GCF_000571895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/895/GCA_000571895.1_Stap_aure_F13022_V1		
GCA_000572225.1	PRJNA232549	SAMN02486168	AZTC00000000.1	na	1441466	1280	Staphylococcus aureus subsp. aureus AMRF1	strain=AMRF1		latest	Contig	Major	Full	2014/02/18	MRSA19983	Aravind Medical Research Foundation	GCF_000572225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/225/GCA_000572225.1_MRSA19983	many frameshifted proteins	
GCA_000572245.1	PRJNA236405	SAMN02596117	JASM00000000.1	na	1453986	1280	Staphylococcus aureus subsp. aureus AMRF2	strain=AMRF2		latest	Contig	Major	Full	2014/02/18	MRSA12966	Aravind Medical Research Foundation	GCF_000572245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/245/GCA_000572245.1_MRSA12966	many frameshifted proteins	
GCA_000572325.1	PRJNA224048	SAMN02381787	JDWV00000000.1	na	1409726	1280	Staphylococcus aureus HBHO6021	strain=HBHO6021		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_HBHO6021_V1	Broad Institute	GCF_000572325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/325/GCA_000572325.1_Stap_aure_HBHO6021_V1		
GCA_000572345.1	PRJNA224046	SAMN02381785	JDWW00000000.1	na	1409724	1280	Staphylococcus aureus WMCA6126	strain=WMCA6126		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_WMCA6126_V1	Broad Institute	GCF_000572345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/345/GCA_000572345.1_Stap_aure_WMCA6126_V1		
GCA_000572365.1	PRJNA224031	SAMN02381770	JDWX00000000.1	na	1409709	1280	Staphylococcus aureus WAMC6055	strain=WAMC6055		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_WAMC6055_V1	Broad Institute	GCF_000572365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/365/GCA_000572365.1_Stap_aure_WAMC6055_V1		
GCA_000572385.1	PRJNA224029	SAMN02381768	JDWY00000000.1	na	1409707	1280	Staphylococcus aureus WMCS6115	strain=WMCS6115		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_WMCS6115_V1	Broad Institute	GCF_000572385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/385/GCA_000572385.1_Stap_aure_WMCS6115_V1		
GCA_000572405.1	PRJNA224028	SAMN02381767	JDWZ00000000.1	na	1409706	1280	Staphylococcus aureus WMCS6114	strain=WMCS6114		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_WMCS6114_V1	Broad Institute	GCF_000572405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/405/GCA_000572405.1_Stap_aure_WMCS6114_V1		
GCA_000572425.1	PRJNA224009	SAMN02381748	JDXA00000000.1	na	1409687	1280	Staphylococcus aureus OCMM6115	strain=OCMM6115		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_OCMM6115_V1	Broad Institute	GCF_000572425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/425/GCA_000572425.1_Stap_aure_OCMM6115_V1		
GCA_000572445.1	PRJNA224007	SAMN02381746	JDXB00000000.1	na	1409685	1280	Staphylococcus aureus OCMM6109	strain=OCMM6109		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_OCMM6109_V1	Broad Institute	GCF_000572445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/445/GCA_000572445.1_Stap_aure_OCMM6109_V1		
GCA_000572465.1	PRJNA224003	SAMN02381742	JDXC00000000.1	na	1409681	1280	Staphylococcus aureus WMCA6086	strain=WMCA6086		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_WMCA6086_V1	Broad Institute	GCF_000572465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/465/GCA_000572465.1_Stap_aure_WMCA6086_V1		
GCA_000572485.1	PRJNA223995	SAMN02381734	JDXD00000000.1	na	1409673	1280	Staphylococcus aureus OCMM6103	strain=OCMM6103		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_OCMM6103_V1	Broad Institute	GCF_000572485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/485/GCA_000572485.1_Stap_aure_OCMM6103_V1		
GCA_000572505.1	PRJNA223991	SAMN02381730	JDXE00000000.1	na	1409669	1280	Staphylococcus aureus FVRH6079	strain=FVRH6079		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_FVRH6079_V1	Broad Institute	GCF_000572505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/505/GCA_000572505.1_Stap_aure_FVRH6079_V1		
GCA_000572525.1	PRJNA223988	SAMN02381727	JDXF00000000.1	na	1409666	1280	Staphylococcus aureus FVRH6066	strain=FVRH6066		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_FVRH6066_V1	Broad Institute	GCF_000572525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/525/GCA_000572525.1_Stap_aure_FVRH6066_V1		
GCA_000572545.1	PRJNA223961	SAMN02381700	JDXG00000000.1	na	1409639	1280	Staphylococcus aureus MISS6176	strain=MISS6176		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_MISS6176_V1	Broad Institute	GCF_000572545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/545/GCA_000572545.1_Stap_aure_MISS6176_V1		
GCA_000572565.1	PRJNA223956	SAMN02381695	JDXH00000000.1	na	1409634	1280	Staphylococcus aureus FVRH6040	strain=FVRH6040		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_FVRH6040_V1	Broad Institute	GCF_000572565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/565/GCA_000572565.1_Stap_aure_FVRH6040_V1		
GCA_000572585.1	PRJNA223942	SAMN02381683	JDXJ00000000.1	na	1409622	1280	Staphylococcus aureus MISS6131	strain=MISS6131		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_MISS6131_V1	Broad Institute	GCF_000572585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/585/GCA_000572585.1_Stap_aure_MISS6131_V1		
GCA_000572605.1	PRJNA223941	SAMN02381682	JDXK00000000.1	na	1409621	1280	Staphylococcus aureus MISS6132	strain=MISS6132		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_MISS6132_V1	Broad Institute	GCF_000572605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/605/GCA_000572605.1_Stap_aure_MISS6132_V1		
GCA_000572625.1	PRJNA223940	SAMN02381681	JDXL00000000.1	na	1409620	1280	Staphylococcus aureus KINW6025	strain=KINW6025		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_KINW6025_V1	Broad Institute	GCF_000572625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/625/GCA_000572625.1_Stap_aure_KINW6025_V1		
GCA_000572645.1	PRJNA223933	SAMN02381674	JDXM00000000.1	na	1409613	1280	Staphylococcus aureus SJOS6145	strain=SJOS6145		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_SJOS6145_V1	Broad Institute	GCF_000572645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/645/GCA_000572645.1_Stap_aure_SJOS6145_V1		
GCA_000572665.1	PRJNA223895	SAMN02381636	JDXN00000000.1	na	1409575	1280	Staphylococcus aureus SJUD6098	strain=SJUD6098		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_SJUD6098_V1	Broad Institute	GCF_000572665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/665/GCA_000572665.1_Stap_aure_SJUD6098_V1		
GCA_000572685.1	PRJNA223885	SAMN02381626	JDXO00000000.1	na	1409565	1280	Staphylococcus aureus SJOS6123	strain=SJOS6123		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_SJOS6123_V1	Broad Institute	GCF_000572685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/685/GCA_000572685.1_Stap_aure_SJOS6123_V1		
GCA_000572705.1	PRJNA223871	SAMN02381612	JDXP00000000.1	na	1409551	1280	Staphylococcus aureus HOAG6047	strain=HOAG6047		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_HOAG6047_V1	Broad Institute	GCF_000572705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/705/GCA_000572705.1_Stap_aure_HOAG6047_V1		
GCA_000572725.1	PRJNA223870	SAMN02381611	JDXQ00000000.1	na	1409550	1280	Staphylococcus aureus HOAG6043	strain=HOAG6043		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_HOAG6043_V1	Broad Institute	GCF_000572725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/725/GCA_000572725.1_Stap_aure_HOAG6043_V1		
GCA_000572745.1	PRJNA223864	SAMN02381605	JDXR00000000.1	na	1409544	1280	Staphylococcus aureus SMMC6014	strain=SMMC6014		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_SMMC6014_V1	Broad Institute	GCF_000572745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/745/GCA_000572745.1_Stap_aure_SMMC6014_V1		
GCA_000572765.1	PRJNA223861	SAMN02381602	JDXS00000000.1	na	1409541	1280	Staphylococcus aureus SCLE6012	strain=SCLE6012		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_SCLE6012_V1	Broad Institute	GCF_000572765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/765/GCA_000572765.1_Stap_aure_SCLE6012_V1		
GCA_000572785.1	PRJNA223860	SAMN02381601	JDXT00000000.1	na	1409540	1280	Staphylococcus aureus OCMM6017	strain=OCMM6017		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_OCMM6017_V1	Broad Institute	GCF_000572785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/785/GCA_000572785.1_Stap_aure_OCMM6017_V1		
GCA_000572805.1	PRJNA223844	SAMN02381585	JDXV00000000.1	na	1409524	1280	Staphylococcus aureus WAMC6049	strain=WAMC6049		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_WAMC6049_V1	Broad Institute	GCF_000572805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/805/GCA_000572805.1_Stap_aure_WAMC6049_V1		
GCA_000572825.1	PRJNA223843	SAMN02381584	JDXW00000000.1	na	1409523	1280	Staphylococcus aureus SMMC6016	strain=SMMC6016		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_SMMC6016_V1	Broad Institute	GCF_000572825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/825/GCA_000572825.1_Stap_aure_SMMC6016_V1		
GCA_000572845.1	PRJNA223841	SAMN02381582	JDXX00000000.1	na	1409521	1280	Staphylococcus aureus MISS6037	strain=MISS6037		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_MISS6037_V1	Broad Institute	GCF_000572845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/845/GCA_000572845.1_Stap_aure_MISS6037_V1		
GCA_000572865.1	PRJNA223839	SAMN02381580	JDXZ00000000.1	na	1409519	1280	Staphylococcus aureus LPIH6008	strain=LPIH6008		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_LPIH6008_V1	Broad Institute	GCF_000572865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/865/GCA_000572865.1_Stap_aure_LPIH6008_V1		
GCA_000572885.1	PRJNA223837	SAMN02381578	JDYA00000000.1	na	1409517	1280	Staphylococcus aureus LPIH6004	strain=LPIH6004		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_LPIH6004_V1	Broad Institute	GCF_000572885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/885/GCA_000572885.1_Stap_aure_LPIH6004_V1		
GCA_000572905.1	PRJNA223832	SAMN02381573	JDYB00000000.1	na	1409512	1280	Staphylococcus aureus HBHO6050	strain=HBHO6050		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_HBHO6050_V1	Broad Institute	GCF_000572905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/905/GCA_000572905.1_Stap_aure_HBHO6050_V1		
GCA_000572925.1	PRJNA223829	SAMN02381570	JDYC00000000.1	na	1409509	1280	Staphylococcus aureus WMCS6047	strain=WMCS6047		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_WMCS6047_V1	Broad Institute	GCF_000572925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/925/GCA_000572925.1_Stap_aure_WMCS6047_V1		
GCA_000572945.1	PRJNA223828	SAMN02381569	JDYD00000000.1	na	1409508	1280	Staphylococcus aureus WMCA6006	strain=WMCA6006		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_WMCA6006_V1	Broad Institute	GCF_000572945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/945/GCA_000572945.1_Stap_aure_WMCA6006_V1		
GCA_000572965.1	PRJNA223827	SAMN02381568	JDYE00000000.1	na	1409507	1280	Staphylococcus aureus GGMC6004	strain=GGMC6004		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_GGMC6004_V1	Broad Institute	GCF_000572965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/965/GCA_000572965.1_Stap_aure_GGMC6004_V1		
GCA_000572985.1	PRJNA223825	SAMN02381566	JDYF00000000.1	na	1409505	1280	Staphylococcus aureus SCOA6009	strain=SCOA6009		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_SCOA6009_V1	Broad Institute	GCF_000572985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/985/GCA_000572985.1_Stap_aure_SCOA6009_V1		
GCA_000573005.1	PRJNA223746	SAMN02381487	JDYG00000000.1	na	1409426	1280	Staphylococcus aureus SJUD6085	strain=SJUD6085		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_SJUD6085_V1	Broad Institute	GCF_000573005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/573/005/GCA_000573005.1_Stap_aure_SJUD6085_V1		
GCA_000573025.1	PRJNA223740	SAMN02381481	JDYH00000000.1	na	1409420	1280	Staphylococcus aureus COAS6044	strain=COAS6044		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_COAS6044_V1	Broad Institute	GCF_000573025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/573/025/GCA_000573025.1_Stap_aure_COAS6044_V1		
GCA_000573045.1	PRJNA223731	SAMN02381472	JDYI00000000.1	na	1409411	1280	Staphylococcus aureus MISS6103	strain=MISS6103		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_MISS6103_V1	Broad Institute	GCF_000573045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/573/045/GCA_000573045.1_Stap_aure_MISS6103_V1		
GCA_000573065.1	PRJNA223846	SAMN02381587	JDXU00000000.1	na	1409526	1280	Staphylococcus aureus LPIH6010	strain=LPIH6010		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_LPIH6010_V1	Broad Institute	GCF_000573065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/573/065/GCA_000573065.1_Stap_aure_LPIH6010_V1		
GCA_000573085.1	PRJNA220164	SAMN02360971	JEGB00000000.1	na	1402814	1280	Staphylococcus aureus M1337	strain=M1337		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_M1337_V1	Broad Institute	GCF_000573085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/573/085/GCA_000573085.1_Stap_aure_M1337_V1		
GCA_000573105.1	PRJNA220163	SAMN02360970	JEGC00000000.1	na	1402813	1280	Staphylococcus aureus M1336	strain=M1336		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_M1336_V1	Broad Institute	GCF_000573105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/573/105/GCA_000573105.1_Stap_aure_M1336_V1		
GCA_000573125.1	PRJNA220162	SAMN02360969	JEGD00000000.1	na	1402812	1280	Staphylococcus aureus M1334	strain=M1334		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_M1334_V1	Broad Institute	GCF_000573125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/573/125/GCA_000573125.1_Stap_aure_M1334_V1		
GCA_000573145.1	PRJNA220161	SAMN02360968	JEGE00000000.1	na	1402811	1280	Staphylococcus aureus M1333	strain=M1333		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_M1333_V1	Broad Institute	GCF_000573145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/573/145/GCA_000573145.1_Stap_aure_M1333_V1		
GCA_000573165.1	PRJNA220159	SAMN02360966	JEGF00000000.1	na	1402809	1280	Staphylococcus aureus M1331	strain=M1331		latest	Scaffold	Major	Full	2014/02/19	Stap_aure_M1331_V1	Broad Institute	GCF_000573165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/573/165/GCA_000573165.1_Stap_aure_M1331_V1		
